year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,7.165130296303895
1980,10-14 years,Eye cancer,0.0022915431488360997
1980,10-14 years,Kidney cancer,0.365164819358829
1980,10-14 years,Liver cancer,1.0456865830156865
1980,10-14 years,Nasopharynx cancer,0.5598237235100694
1980,10-14 years,Thyroid cancer,0.0720196943714117
1980,15-19 years,Bladder cancer,0.09815467307069989
1980,15-19 years,Brain and central nervous system cancer,2.7204349355312853
1980,15-19 years,Breast cancer,0.0692452761351516
1980,15-19 years,Cervical cancer,0.4418372624715648
1980,15-19 years,Colon and rectum cancer,0.6228906529046533
1980,15-19 years,Eye cancer,0.0008681734858512
1980,15-19 years,Kidney cancer,0.1268034302037245
1980,15-19 years,Lip and oral cavity cancer,0.08875386929635501
1980,15-19 years,Liver cancer,0.6236299528386089
1980,15-19 years,Nasopharynx cancer,0.3601988517827961
1980,15-19 years,Ovarian cancer,0.0901365920278354
1980,15-19 years,Pancreatic cancer,0.046393712119813496
1980,15-19 years,Stomach cancer,1.9196590844347154
1980,15-19 years,Testicular cancer,0.0492915297476281
1980,15-19 years,Thyroid cancer,0.0581519459298271
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.7681054081049521
1980,20-24 years,Bladder cancer,0.1561940335121181
1980,20-24 years,Brain and central nervous system cancer,2.4290621380228434
1980,20-24 years,Breast cancer,0.1677980226009159
1980,20-24 years,Cervical cancer,0.9724528486707684
1980,20-24 years,Colon and rectum cancer,1.0626946973533706
1980,20-24 years,Esophageal cancer,0.3408321304350074
1980,20-24 years,Eye cancer,0.0012682512332385998
1980,20-24 years,Gallbladder and biliary tract cancer,0.0657505793773417
1980,20-24 years,Kidney cancer,0.1297720430152173
1980,20-24 years,Larynx cancer,0.2780072975254035
1980,20-24 years,Lip and oral cavity cancer,0.1427829772985974
1980,20-24 years,Liver cancer,0.8607014331295963
1980,20-24 years,Nasopharynx cancer,0.3424352492037616
1980,20-24 years,Non-melanoma skin cancer,0.0007898526771264
1980,20-24 years,Other pharynx cancer,0.044343026571022404
1980,20-24 years,Ovarian cancer,0.1130678910696115
1980,20-24 years,Pancreatic cancer,0.0773826166477445
1980,20-24 years,Prostate cancer,0.0351889372257037
1980,20-24 years,Stomach cancer,3.5923367349731965
1980,20-24 years,Testicular cancer,0.108078591653675
1980,20-24 years,Thyroid cancer,0.0714071351034681
1980,20-24 years,"Tracheal, bronchus, and lung cancer",1.0152429977533064
1980,20-24 years,Uterine cancer,0.0417006551504677
1980,25-29 years,Bladder cancer,0.2546315798053322
1980,25-29 years,Brain and central nervous system cancer,3.3284392557845885
1980,25-29 years,Breast cancer,0.8218506264508796
1980,25-29 years,Cervical cancer,2.382665813256489
1980,25-29 years,Colon and rectum cancer,2.1723449350038564
1980,25-29 years,Esophageal cancer,0.8270063707978035
1980,25-29 years,Eye cancer,0.0024840015242212
1980,25-29 years,Gallbladder and biliary tract cancer,0.13773196025257028
1980,25-29 years,Kidney cancer,0.1942017785433069
1980,25-29 years,Larynx cancer,0.4410181728493109
1980,25-29 years,Lip and oral cavity cancer,0.2388522022303048
1980,25-29 years,Liver cancer,1.229055546410288
1980,25-29 years,Nasopharynx cancer,0.47678932460168866
1980,25-29 years,Non-melanoma skin cancer,0.0016036431493368
1980,25-29 years,Other pharynx cancer,0.08907772313542581
1980,25-29 years,Ovarian cancer,0.216114902192605
1980,25-29 years,Pancreatic cancer,0.1416636335944578
1980,25-29 years,Prostate cancer,0.0282030777945575
1980,25-29 years,Stomach cancer,8.271965127325998
1980,25-29 years,Testicular cancer,0.1584599588012313
1980,25-29 years,Thyroid cancer,0.1303499303180008
1980,25-29 years,"Tracheal, bronchus, and lung cancer",1.6534432519107005
1980,25-29 years,Uterine cancer,0.0960862870497518
1980,30-34 years,Bladder cancer,0.474874482251569
1980,30-34 years,Brain and central nervous system cancer,4.511275683436689
1980,30-34 years,Breast cancer,2.6226306936180013
1980,30-34 years,Cervical cancer,4.054048177024758
1980,30-34 years,Colon and rectum cancer,4.173289516486335
1980,30-34 years,Esophageal cancer,1.480659690450382
1980,30-34 years,Eye cancer,0.0044518122538112995
1980,30-34 years,Gallbladder and biliary tract cancer,0.2720501280877463
1980,30-34 years,Kidney cancer,0.297946115766773
1980,30-34 years,Larynx cancer,0.9163747617612175
1980,30-34 years,Lip and oral cavity cancer,0.4278956962660899
1980,30-34 years,Liver cancer,1.9467089156968815
1980,30-34 years,Nasopharynx cancer,0.7156474849221182
1980,30-34 years,Non-melanoma skin cancer,0.0018307979195750002
1980,30-34 years,Other pharynx cancer,0.14431019371675669
1980,30-34 years,Ovarian cancer,0.3340177648525549
1980,30-34 years,Pancreatic cancer,0.3737977647861987
