year,age_name,cause_name,val
1980,10-14 years,Brain and central nervous system cancer,2.821720668310298
1980,10-14 years,Eye cancer,0.3101340706615481
1980,10-14 years,Kidney cancer,0.1564601430765984
1980,10-14 years,Liver cancer,1.0843949436021858
1980,10-14 years,Nasopharynx cancer,1.0925506701035572
1980,10-14 years,Thyroid cancer,0.19752748428499028
1980,15-19 years,Bladder cancer,0.1199138503717044
1980,15-19 years,Brain and central nervous system cancer,1.5877903790764631
1980,15-19 years,Breast cancer,1.027525478757688
1980,15-19 years,Cervical cancer,2.5891533808606644
1980,15-19 years,Colon and rectum cancer,0.6004978357934795
1980,15-19 years,Eye cancer,0.21228395031735078
1980,15-19 years,Kidney cancer,0.0986027676548297
1980,15-19 years,Lip and oral cavity cancer,0.4336270351198743
1980,15-19 years,Liver cancer,1.682517786026426
1980,15-19 years,Nasopharynx cancer,1.199897362156593
1980,15-19 years,Ovarian cancer,0.6523046289949116
1980,15-19 years,Pancreatic cancer,0.1390069362932834
1980,15-19 years,Stomach cancer,0.5043724911163515
1980,15-19 years,Testicular cancer,0.3023017124356346
1980,15-19 years,Thyroid cancer,0.4249854475190686
1980,15-19 years,"Tracheal, bronchus, and lung cancer",0.1856221276803885
1980,20-24 years,Bladder cancer,0.2066555592719525
1980,20-24 years,Brain and central nervous system cancer,1.2408918909115014
1980,20-24 years,Breast cancer,1.7943634102483024
1980,20-24 years,Cervical cancer,5.761664009755009
1980,20-24 years,Colon and rectum cancer,1.4503538535116758
1980,20-24 years,Esophageal cancer,1.0213671894588623
1980,20-24 years,Eye cancer,0.5368506970792379
1980,20-24 years,Gallbladder and biliary tract cancer,0.0640730669838195
1980,20-24 years,Kidney cancer,0.1354845586835555
1980,20-24 years,Larynx cancer,0.1382393721310804
1980,20-24 years,Lip and oral cavity cancer,0.6291628663462894
1980,20-24 years,Liver cancer,2.1755972454814088
1980,20-24 years,Nasopharynx cancer,0.9746358338105401
1980,20-24 years,Non-melanoma skin cancer,0.0570584239709669
1980,20-24 years,Other pharynx cancer,0.1050912189734872
1980,20-24 years,Ovarian cancer,0.7860560547023739
1980,20-24 years,Pancreatic cancer,0.2333360063555926
1980,20-24 years,Prostate cancer,0.0327479613712602
1980,20-24 years,Stomach cancer,1.4294220729693294
1980,20-24 years,Testicular cancer,0.6213126208574102
1980,20-24 years,Thyroid cancer,0.6740980806120536
1980,20-24 years,"Tracheal, bronchus, and lung cancer",0.3706635232971808
1980,20-24 years,Uterine cancer,0.1264070347094627
1980,25-29 years,Bladder cancer,0.2768164677389301
1980,25-29 years,Brain and central nervous system cancer,1.2627922269168783
1980,25-29 years,Breast cancer,4.071235500910939
1980,25-29 years,Cervical cancer,11.26266014014842
1980,25-29 years,Colon and rectum cancer,1.710011488911173
1980,25-29 years,Esophageal cancer,1.61744919948401
1980,25-29 years,Eye cancer,0.6315972391780325
1980,25-29 years,Gallbladder and biliary tract cancer,0.1016006053280827
1980,25-29 years,Kidney cancer,0.1657042531816705
1980,25-29 years,Larynx cancer,0.2083120019582372
1980,25-29 years,Lip and oral cavity cancer,0.8490058265113635
1980,25-29 years,Liver cancer,2.593894383840765
1980,25-29 years,Nasopharynx cancer,0.9960796719655063
1980,25-29 years,Non-melanoma skin cancer,0.07169333352908469
1980,25-29 years,Other pharynx cancer,0.1356575445364739
1980,25-29 years,Ovarian cancer,0.9656543005892186
1980,25-29 years,Pancreatic cancer,0.2668668479051014
1980,25-29 years,Prostate cancer,0.0256453475292683
1980,25-29 years,Stomach cancer,2.36280020361398
1980,25-29 years,Testicular cancer,0.8170277934365182
1980,25-29 years,Thyroid cancer,0.7902255427623008
1980,25-29 years,"Tracheal, bronchus, and lung cancer",0.4500482809973484
1980,25-29 years,Uterine cancer,0.2766708523801339
1980,30-34 years,Bladder cancer,0.3068734169631743
1980,30-34 years,Brain and central nervous system cancer,1.2501317529284337
1980,30-34 years,Breast cancer,6.997848468314158
1980,30-34 years,Cervical cancer,19.702680263788974
1980,30-34 years,Colon and rectum cancer,2.680420720132039
1980,30-34 years,Esophageal cancer,2.604315449644207
1980,30-34 years,Eye cancer,0.6998676055408243
1980,30-34 years,Gallbladder and biliary tract cancer,0.1557336689521959
1980,30-34 years,Kidney cancer,0.2294846414924018
1980,30-34 years,Larynx cancer,0.29994592277296217
1980,30-34 years,Lip and oral cavity cancer,1.0856392137595852
1980,30-34 years,Liver cancer,3.3517733799728684
1980,30-34 years,Nasopharynx cancer,1.2397596994957047
1980,30-34 years,Non-melanoma skin cancer,0.0926234657310761
1980,30-34 years,Other pharynx cancer,0.2018315669513241
1980,30-34 years,Ovarian cancer,1.1511152296024385
1980,30-34 years,Pancreatic cancer,0.44591193769525006
1980,30-34 years,Prostate cancer,0.0362503419117903
1980,30-34 years,Stomach cancer,3.8866095625188577
1980,30-34 years,Testicular cancer,0.7343765854004392
1980,30-34 years,Thyroid cancer,0.656897278141659
1980,30-34 years,"Tracheal, bronchus, and lung cancer",0.8932968581932967
1980,30-34 years,Uterine cancer,0.4236728305389091
1980,35-39 years,Bladder cancer,0.4470006501606588
1980,35-39 years,Brain and central nervous system cancer,1.4406185128260405
1980,35-39 years,Breast cancer,14.909041193770896
1980,35-39 years,Cervical cancer,35.65580616798075
1980,35-39 years,Colon and rectum cancer,4.256411424545254
1980,35-39 years,Esophageal cancer,5.794222021360938
1980,35-39 years,Eye cancer,0.8191400469689283
1980,35-39 years,Gallbladder and biliary tract cancer,0.2795628960322035
1980,35-39 years,Kidney cancer,0.3669150956301216
1980,35-39 years,Larynx cancer,0.6351336936650454
1980,35-39 years,Lip and oral cavity cancer,1.777846151332404
1980,35-39 years,Liver cancer,5.030302619069689
